TC	ITEM	EXP_VAL	ACT_VAL	EXP_BIN	ACT_BIN	EXP_HEX	ACT_HEX	MATCH
TC1	1	82	6980368	1010010	11010101000001100010000	52	6A8310	False
TC1	2	100	5517055	1100100	10101000010111011111111	64	542EFF	False
TC1	3	93	1336159	1011101	101000110001101011111	5D	14635F	False
TC1	4	65	6750185	1000001	11001101111111111101001	41	66FFE9	False
TC1	5	58	1771937	111010	110110000100110100001	3A	1B09A1	False
TC1	6	51	360952	110011	1011000000111111000	33	581F8	False
TC1	7	67	5672561	1000011	10101101000111001110001	43	568E71	False
TC1	8	75	916583	1001011	11011111110001100111	4B	DFC67	False
TC1	9	10	2700138	1010	1010010011001101101010	A	29336A	False
TC1	10	93	9645053	1011101	100100110010101111111101	5D	932BFD	False
TC1	11	29	1181110	11101	100100000010110110110	1D	1205B6	False
TC1	12	86	1492185	1010110	101101100010011011001	56	16C4D9	False
TC1	13	100	4018595	1100100	1111010101000110100011	64	3D51A3	False
TC1	14	21	7654888	10101	11101001100110111101000	15	74CDE8	False
TC1	15	40	7062453	101000	11010111100001110110101	28	6BC3B5	False
TC1	16	90	2478010	1011010	1001011100111110111010	5A	25CFBA	False
TC1	17	1	6134768	1	10111011001101111110000	1	5D9BF0	False
TC1	18	100	8420417	1100100	100000000111110001000001	64	807C41	False
TC1	19	0	2917489	0	1011001000010001110001	0	2C8471	False
TC1	20	74	3340773	1001010	1100101111100111100101	4A	32F9E5	False
TC1	21	72	1115956	1001000	100010000011100110100	48	110734	False
TC1	22	13	9172192	1101	100010111111010011100000	D	8BF4E0	False
TC1	23	37	6271996	100101	10111111011001111111100	25	5FB3FC	False
TC1	24	66	8686939	1000010	100001001000110101011011	42	848D5B	False
TC1	25	29	50986	11101	1100011100101010	1D	C72A	False
TC1	26	22	9376410	10110	100011110001001010011010	16	8F129A	False
TC1	27	61	5962327	111101	10110101111101001010111	3D	5AFA57	False
TC1	28	38	7686891	100110	11101010100101011101011	26	754AEB	False
TC1	29	67	6615183	1000011	11001001111000010001111	43	64F08F	False
TC1	30	74	1864844	1001010	111000111010010001100	4A	1C748C	False
TC1	31	89	3329962	1011001	1100101100111110101010	59	32CFAA	False
TC1	32	77	3942794	1001101	1111000010100110001010	4D	3C298A	False
TC1	33	85	2614836	1010101	1001111110011000110100	55	27E634	False
TC1	34	93	7406772	1011101	11100010000010010110100	5D	7104B4	False
TC1	35	54	2384190	110110	1001000110000100111110	36	24613E	False
TC1	36	43	398347	101011	1100001010000001011	2B	6140B	False
TC1	37	75	8698503	1001011	100001001011101010000111	4B	84BA87	False
TC1	38	36	9551696	100100	100100011011111101010000	24	91BF50	False
TC1	39	85	1019556	1010101	11111000111010100100	55	F8EA4	False
TC1	40	8	1677430	1000	110011001100001110110	8	199876	False
TC1	41	86	3479629	1010110	1101010001100001001101	56	35184D	False
TC1	42	1	9309008	1	100011100000101101010000	1	8E0B50	False
TC1	43	80	5266170	1010000	10100000101101011111010	50	505AFA	False
TC1	44	17	4094340	10001	1111100111100110000100	11	3E7984	False
TC1	45	94	1754055	1011110	110101100001111000111	5E	1AC3C7	False
TC1	46	7	5861132	111	10110010110111100001100	7	596F0C	False
TC1	47	94	4471329	1011110	10001000011101000100001	5E	443A21	False
TC1	48	95	8826052	1011111	100001101010110011000100	5F	86ACC4	False
TC1	49	90	7469325	1011010	11100011111100100001101	5A	71F90D	False
TC1	50	74	1973172	1001010	111100001101110110100	4A	1E1BB4	False
TC1	51	48	53145	110000	1100111110011001	30	CF99	False
TC1	52	41	3897508	101001	1110110111100010100100	29	3B78A4	False
TC1	53	85	7773386	1010101	11101101001110011001010	55	769CCA	False
TC1	54	35	6089829	100011	10111001110110001100101	23	5CEC65	False
TC1	55	1	4223424	1	10000000111000111000000	1	4071C0	False
TC1	56	13	9761752	1101	100101001111001111011000	D	94F3D8	False
TC1	57	40	7930799	101000	11110010000001110101111	28	7903AF	False
TC1	58	52	3597495	110100	1101101110010010110111	34	36E4B7	False
TC1	59	95	9302948	1011111	100011011111001110100100	5F	8DF3A4	False
TC1	60	25	2288712	11001	1000101110110001001000	19	22EC48	False
TC1	61	54	197187	110110	110000001001000011	36	30243	False
TC1	62	55	5266939	110111	10100000101110111111011	37	505DFB	False
TC1	63	54	221545	110110	110110000101101001	36	36169	False
TC1	64	70	7957027	1000110	11110010110101000100011	46	796A23	False
TC1	65	61	3195361	111101	1100001100000111100001	3D	30C1E1	False
TC1	66	22	7106269	10110	11011000110111011011101	16	6C6EDD	False
TC1	67	76	9633312	1001100	100100101111111000100000	4C	92FE20	False
TC1	68	85	9713704	1010101	100101000011100000101000	55	943828	False
TC1	69	52	91925	110100	10110011100010101	34	16715	False
TC1	70	87	4418686	1010111	10000110110110001111110	57	436C7E	False
TC1	71	54	9682250	110110	100100111011110101001010	36	93BD4A	False
TC1	72	78	2583824	1001110	1001110110110100010000	4E	276D10	False
TC1	73	45	4979126	101101	10010111111100110110110	2D	4BF9B6	False
TC1	74	62	6280954	111110	10111111101011011111010	3E	5FD6FA	False
TC1	75	57	1228610	111001	100101011111101000010	39	12BF42	False
TC1	76	85	705518	1010101	10101100001111101110	55	AC3EE	False
TC1	77	17	1017653	10001	11111000011100110101	11	F8735	False
TC1	78	52	500098	110100	1111010000110000010	34	7A182	False
TC1	79	33	7210727	100001	11011100000011011100111	21	6E06E7	False
TC1	80	57	4250898	111001	10000001101110100010010	39	40DD12	False
TC1	81	23	4055028	10111	1111011101111111110100	17	3DDFF4	False
TC1	82	80	2754240	1010000	1010100000011011000000	50	2A06C0	False
TC1	83	70	452999	1000110	1101110100110000111	46	6E987	False
TC1	84	58	6831458	111010	11010000011110101100010	3A	683D62	False
TC1	85	75	207636	1001011	110010101100010100	4B	32B14	False
TC1	86	24	7280635	11000	11011110001011111111011	18	6F17FB	False
TC1	87	23	3308937	10111	1100100111110110001001	17	327D89	False
TC1	88	32	4303570	100000	10000011010101011010010	20	41AAD2	False
TC1	89	95	8375055	1011111	11111111100101100001111	5F	7FCB0F	False
TC1	90	75	1457960	1001011	101100011111100101000	4B	163F28	False
TC1	91	86	5197625	1010110	10011110100111100111001	56	4F4F39	False
TC1	92	47	3144371	101111	1011111111101010110011	2F	2FFAB3	False
TC1	93	48	6674138	110000	11001011101011011011010	30	65D6DA	False
TC1	94	88	2692106	1011000	1010010001010000001010	58	29140A	False
TC1	95	78	2276769	1001110	1000101011110110100001	4E	22BDA1	False
TC1	96	74	1940971	1001010	111011001110111101011	4A	1D9DEB	False
TC1	97	51	3288264	110011	1100100010110011001000	33	322CC8	False
TC1	98	71	4819803	1000111	10010011000101101011011	47	498B5B	False
TC1	99	48	9431005	110000	100011111110011111011101	30	8FE7DD	False
